km,date,litres,price_per_litre,total_cost
086573,2009-12-29,27.109,0.959,26.00
087063,2010-01-07,33.266,0.979,32.57
087673,2010-01-16,41.063,0.979,40.20
088386,2010-01-28,46.253,0.939,43.43
088859,2010-02-03,33.346,0.939,31.31
089486,2010-02-12,41.313,0.929,38.38
090112,2010-02-17,48.402,0.909,44.00
090629,2010-02-24,31.928,0.949,30.30
091336,2010-03-09,45.650,0.949,43.32
092180,2010-03-19,49.322,0.942,46.46
092929,2010-03-31,45.617,0.932,42.52
093720,2010-04-10,44.924,0.969,43.53
094529,2010-04-21,49.848,0.932,46.46
094953,2010-04-28,27.097,0.932,25.25
095718,2010-05-08,43.047,0.999,43.00
096095,2010-05-15,23.736,0.969,23.00
096584,2010-05-20,28.172,0.932,26.26
097072,2010-05-27,26.911,0.929,25.00
098064,2010-06-01,52.186,0.929,48.48
098845,2010-06-11,43.493,0.929,40.40
099612,2010-06-23,44.130,0.929,41.00
100379,2010-07-05,45.046,0.999,45.00
100992,2010-07-15,33.024,0.969,32.00
